step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.114305219532062,0,0.0,0.9420306341457736,0,0.0
10.0,0,0.0,0.0,12.543518844953502,0,0.0,0.9082267261834741,0,0.0
15.0,6,8.0,0.4444444444444444,7.769640560726643,6,8.0,0.4136641140274492,6,8.0
20.0,6,33.0,1.8333333333333333,7.801305341490372,6,33.0,0.4343502424912236,6,33.0
25.0,8,67.0,3.0454545454545454,6.8580689755649535,8,67.0,0.38209879829571075,8,67.0
30.0,6,55.0,2.75,7.351870021098163,6,80.0,0.43579129654408094,6,80.0
35.0,8,88.0,4.190476190476191,6.546206241895507,8,88.0,0.3185165618712239,8,88.0
40.0,6,66.0,2.5384615384615383,7.194492319363917,6,102.0,0.4395151537081792,6,102.0
45.0,4,77.0,2.9615384615384617,8.781290532666281,4,86.0,0.5665385431556024,4,86.0
50.0,5,78.0,2.7857142857142856,7.364742760132471,5,83.0,0.35601279858720125,5,83.0
55.0,11,126.0,4.5,6.182935614366249,11,131.0,0.28865168875959624,11,131.0
60.0,9,139.0,5.56,5.073295456369635,9,166.0,0.24000690038531158,9,166.0
65.0,8,167.0,6.185185185185185,6.535762239639869,8,178.0,0.3647849096523913,8,178.0
70.0,8,138.0,5.111111111111111,6.291362554714161,8,181.0,0.29917618584059513,8,181.0
75.0,15,196.0,5.6,6.599632459827705,15,207.0,0.3749084208029235,15,207.0
80.0,11,213.0,6.454545454545454,6.964450762470776,11,252.0,0.4300840366044255,11,252.0
85.0,7,215.0,6.142857142857143,5.57964816776219,7,248.0,0.30561516857399035,7,248.0
90.0,12,181.0,5.171428571428572,5.3011321259309545,12,251.0,0.24601444402555833,12,251.0
95.0,16,253.0,7.4411764705882355,4.757242426631662,16,286.0,0.20041943930198708,16,286.0
100.0,15,282.0,8.057142857142857,5.709915664290697,15,336.0,0.2385771929709229,15,336.0
105.0,9,293.0,8.371428571428572,6.698238640005433,9,333.0,0.32202126352749977,9,333.0
110.0,8,247.0,6.675675675675675,5.9004987612394295,8,329.0,0.3197733660717022,8,329.0
115.0,15,309.0,8.82857142857143,5.256789960910309,15,350.0,0.26662802068088665,15,350.0
120.0,14,337.0,9.628571428571428,4.713094141140868,14,398.0,0.24972236823372412,14,398.0
125.0,11,343.0,9.8,4.661369629128584,11,405.0,0.21437455935324967,11,405.0
130.0,12,349.0,9.694444444444445,4.6450878106497395,12,425.0,0.22587544848433916,12,425.0
135.0,17,423.0,11.75,4.268847544778539,17,488.0,0.17187319078631497,17,488.0
140.0,15,456.0,12.324324324324325,4.545450907880305,15,535.0,0.18723162510998687,15,535.0
145.0,12,468.0,12.31578947368421,5.4404159291982594,12,539.0,0.2554799611297847,12,539.0
150.0,7,412.0,9.581395348837209,7.137882167602432,7,524.0,0.4077209587828935,7,524.0
155.0,14,470.0,12.702702702702704,4.780377624190724,14,536.0,0.22563739999434512,14,536.0
160.0,20,516.0,12.285714285714286,4.0096824439985586,20,585.0,0.1692679128249044,20,585.0
165.0,14,553.0,14.552631578947368,4.326050489120436,14,611.0,0.14518150593273985,14,611.0
170.0,9,107.0,2.5476190476190474,5.140034736847511,9,361.0,0.25265757259189453,9,361.0
175.0,16,178.0,4.8108108108108105,4.162836407964741,16,245.0,0.15375872805958873,16,245.0
