step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,11.845032469407736,0,0.0,0.8489614195220309,0,0.0
10.0,0,0.0,0.0,10.920429325093147,0,0.0,0.7944520389080744,0,0.0
15.0,5,8.0,0.4444444444444444,7.064986277235548,5,8.0,0.46798109718282177,5,8.0
20.0,8,39.0,2.1666666666666665,7.227689592098536,8,39.0,0.38848811744516903,8,39.0
25.0,4,47.0,2.0434782608695654,5.897044140080062,4,57.0,0.3634992298891913,4,57.0
30.0,6,75.0,3.75,7.392216844316586,6,75.0,0.45520229694610576,6,75.0
35.0,4,47.0,1.9583333333333333,6.959097134856475,4,61.0,0.3441442836519851,4,61.0
40.0,8,81.0,3.0,8.389930046337613,8,81.0,0.4608333198914759,8,81.0
45.0,5,68.0,2.4285714285714284,8.25050651372359,5,96.0,0.47770741628233643,5,96.0
50.0,4,75.0,2.7777777777777777,7.93428584876541,4,82.0,0.42557715544901853,4,82.0
55.0,6,95.0,3.392857142857143,8.068577957007285,6,100.0,0.41168966435031257,6,100.0
60.0,10,135.0,5.869565217391305,6.242167134125619,10,138.0,0.2247058133483301,10,138.0
65.0,8,144.0,5.538461538461538,6.294028097841066,8,168.0,0.33747417281335673,8,168.0
70.0,6,171.0,7.434782608695652,7.350975526373652,6,175.0,0.37946477398987605,6,175.0
75.0,4,125.0,3.676470588235294,8.195758524803598,4,155.0,0.5118063913303116,4,155.0
80.0,8,158.0,5.266666666666667,9.058519574623524,8,160.0,0.5729616134605282,8,160.0
85.0,3,144.0,4.5,7.339919364710566,3,171.0,0.42536912396722487,3,171.0
90.0,8,174.0,6.6923076923076925,7.3759314377566145,8,174.0,0.37759864386118247,8,174.0
95.0,8,43.0,1.4333333333333333,6.943108428446964,8,59.0,0.33031851081652475,8,59.0
100.0,14,97.0,3.4642857142857144,6.397710988940823,14,97.0,0.28139400306272117,14,97.0
105.0,10,103.0,3.6785714285714284,5.404793684912458,10,129.0,0.29927661543642026,10,129.0
110.0,16,167.0,5.566666666666666,5.546747083665087,16,167.0,0.3416792355772349,16,167.0
115.0,12,141.0,4.40625,5.383324871468465,12,201.0,0.3283226583334373,12,201.0
120.0,6,139.0,4.483870967741935,6.776973473833207,6,180.0,0.3873488244796009,6,180.0
125.0,8,19.0,0.5588235294117647,6.337512455677349,8,130.0,0.31457110293506524,8,130.0
130.0,10,49.0,1.5806451612903225,5.790585788056057,10,82.0,0.2599189528255024,10,82.0
135.0,12,70.0,2.1875,4.6674183660668085,12,122.0,0.20514711817733164,12,122.0
140.0,18,152.0,4.903225806451613,5.331028301383932,18,185.0,0.23052437720966557,18,185.0
145.0,13,133.0,3.911764705882353,4.669884811816187,13,212.0,0.24726568171424593,13,212.0
150.0,8,82.0,2.2777777777777777,7.155646470467813,8,196.0,0.436258565380948,8,196.0
155.0,0,0.0,0.0,6.660529536227369,0,136.0,0.3429392588770113,0,136.0
160.0,7,21.0,0.5675675675675675,5.41066828815,7,103.0,0.27339363885991996,7,103.0
165.0,12,51.0,1.5,3.979904754742396,12,125.0,0.14690715597258522,12,125.0
170.0,8,81.0,2.25,6.0419182820891475,8,105.0,0.29141956800704183,8,105.0
175.0,8,97.0,2.8529411764705883,5.858277863420013,8,125.0,0.25600923770541567,8,125.0
180.0,14,151.0,4.71875,5.077403882454882,14,175.0,0.1932309615639658,14,175.0
185.0,14,130.0,3.611111111111111,4.9825836178937015,14,198.0,0.23938159315277727,14,198.0
190.0,20,220.0,5.945945945945946,5.620079069423976,20,247.0,0.28162999698427255,20,247.0
195.0,19,213.0,5.916666666666667,2.9862099963717217,19,294.0,0.09904980880605313,19,294.0
200.0,14,157.0,4.361111111111111,4.888738037486882,14,302.0,0.25170756909028547,14,302.0
205.0,6,124.0,3.263157894736842,4.331312174415112,6,331.0,0.17891300895517542,6,331.0
