step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
5.0,0,0.0,0.0,12.35359217383347,0,0.0,0.8852207753317606,0,0.0,0.0
10.0,0,0.0,0.0,12.730155969353808,0,0.0,0.9154465914140445,0,0.0,0.0
15.0,3,5.0,0.2777777777777778,7.231347845264232,3,5.0,0.38858385640982124,3,5.0,0.2777777777777778
20.0,4,21.0,1.1666666666666667,8.150851138153152,4,26.0,0.49503679199955214,4,26.0,1.8333333333333333
25.0,5,42.0,2.0,7.089580854694875,5,42.0,0.4015124222756042,5,42.0,2.5714285714285716
30.0,6,50.0,2.5,7.127999987598105,6,55.0,0.4189300795289568,6,55.0,4.5
35.0,8,83.0,4.15,5.717841627808088,8,83.0,0.3122407317830983,8,83.0,6.15
40.0,5,62.0,2.3846153846153846,7.694472714792736,5,97.0,0.4837476228346818,5,97.0,6.1923076923076925
45.0,3,68.0,2.4285714285714284,9.657108960452955,3,68.0,0.6079374267895549,3,68.0,6.285714285714286
50.0,4,85.0,3.1481481481481484,9.164689386056152,4,85.0,0.44679989888304766,4,85.0,7.148148148148148
55.0,9,123.0,4.730769230769231,8.14153907028294,9,123.0,0.41094441458263625,9,123.0,8.884615384615385
60.0,6,133.0,6.333333333333333,6.2328053116433075,6,146.0,0.29826029497366097,6,146.0,12.761904761904763
65.0,9,175.0,7.0,7.443955939461182,9,175.0,0.37828285265719636,9,175.0,12.4
70.0,6,137.0,6.2272727272727275,6.510672879312242,6,171.0,0.3167121419279704,6,171.0,15.909090909090908
75.0,8,173.0,5.766666666666667,7.67985450666923,8,173.0,0.48019119724367515,8,173.0,12.866666666666667
80.0,6,147.0,4.9,7.896848333052433,6,185.0,0.5080873259418032,6,185.0,14.2
85.0,3,149.0,4.515151515151516,7.813910621061547,3,160.0,0.4541590000371713,3,160.0,13.393939393939394
90.0,11,190.0,6.333333333333333,8.08073591654495,11,190.0,0.331255435976751,11,190.0,16.1
95.0,8,218.0,7.785714285714286,7.527272683982521,8,227.0,0.4224252293990971,8,227.0,18.892857142857142
100.0,13,267.0,10.68,5.52781897815715,13,267.0,0.2774137938647672,13,267.0,23.12
105.0,9,301.0,10.75,5.22737650703516,9,314.0,0.2735334829611128,9,314.0,22.75
110.0,11,350.0,11.290322580645162,7.394691585439294,11,350.0,0.43680812060492485,11,350.0,22.129032258064516
115.0,7,270.0,8.4375,7.447290236239116,7,335.0,0.4183877754104738,7,335.0,22.875
120.0,10,303.0,9.774193548387096,7.082326769887233,10,303.0,0.29783661786043697,10,303.0,24.903225806451612
125.0,10,315.0,10.161290322580646,6.801841673288116,10,336.0,0.2928784568623294,10,336.0,26.451612903225808
130.0,9,354.0,12.206896551724139,7.612864631264059,9,360.0,0.3492993937178807,9,360.0,29.82758620689655
135.0,9,360.0,12.413793103448276,6.72055845745035,9,384.0,0.3010528331058931,9,384.0,31.344827586206897
140.0,13,418.0,16.076923076923077,6.210532434430055,13,424.0,0.26993743421733446,13,424.0,37.19230769230769
145.0,11,440.0,14.666666666666666,5.876971511880465,11,464.0,0.3200018354980578,11,464.0,34.3
150.0,9,470.0,14.6875,7.783094213726237,9,488.0,0.4870951893357956,9,488.0,33.65625
155.0,7,99.0,3.09375,6.701010978553499,7,251.0,0.34985400575034925,7,251.0,34.875
160.0,17,159.0,4.818181818181818,4.946229806166986,17,177.0,0.22351708055241448,17,177.0,35.63636363636363
165.0,13,98.0,3.161290322580645,4.766285644883236,13,191.0,0.17403623110142952,13,191.0,40.516129032258064
170.0,16,161.0,4.735294117647059,5.838981208690733,16,186.0,0.27994974740072126,16,186.0,39.0
175.0,12,142.0,4.580645161290323,4.7782362195847865,12,209.0,0.17834941759917308,12,209.0,45.096774193548384
180.0,8,115.0,3.59375,6.633860126483356,8,192.0,0.308531007026252,8,192.0,45.21875
185.0,8,142.0,4.176470588235294,8.499473561009312,8,179.0,0.4280450645741276,8,179.0,43.73529411764706
190.0,6,52.0,1.5294117647058822,7.374390934977468,6,149.0,0.4039834147094872,6,149.0,44.6764705882353
195.0,12,99.0,3.09375,6.521471745481007,12,136.0,0.22688386664251198,12,136.0,48.9375
200.0,9,63.0,2.032258064516129,6.567981421124159,9,144.0,0.3144042840889681,9,144.0,52.32258064516129
205.0,12,116.0,4.296296296296297,5.859573419125239,12,153.0,0.27387794020006817,12,153.0,62.03703703703704
210.0,11,79.0,2.6333333333333333,6.165458596652115,11,162.0,0.2870343011865993,11,162.0,57.733333333333334
215.0,5,29.0,1.0740740740740742,6.072098418783399,5,92.0,0.17110040639528107,5,92.0,65.44444444444444
220.0,4,31.0,0.8611111111111112,9.754678693553803,4,82.0,0.5983906096495698,4,82.0,49.80555555555556
225.0,2,4.0,0.125,9.062803848301945,2,69.0,0.5545887370545298,2,69.0,56.46875
230.0,6,25.0,0.78125,6.216971837032797,6,76.0,0.28765051618016135,6,76.0,57.125
235.0,10,42.0,1.4482758620689655,5.2233969480401985,10,101.0,0.24206950551159429,10,101.0,64.96551724137932
240.0,8,62.0,2.066666666666667,6.944316267774081,8,104.0,0.3607258482677799,8,104.0,64.33333333333333
245.0,6,38.0,1.3103448275862069,6.793325692392847,6,95.0,0.33344893611189674,6,95.0,67.55172413793103
250.0,9,74.0,2.642857142857143,6.279917980151978,9,110.0,0.31577442378728204,9,110.0,71.25
255.0,10,95.0,2.96875,5.628212432605397,10,137.0,0.31548444102278994,10,137.0,64.03125
260.0,8,115.0,3.7096774193548385,7.312043540883926,8,151.0,0.45620768246881577,8,151.0,67.51612903225806
265.0,7,143.0,4.333333333333333,8.132713485606404,7,157.0,0.4249591704494561,7,157.0,64.45454545454545
270.0,6,86.0,2.6875,6.87395564720682,6,141.0,0.3947461503775828,6,141.0,67.53125
