step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,11.951120449864684,0,0.0,0.9103650811811712,0,0.0
10.0,0,0.0,0.0,11.4796724411627,0,0.0,0.8804315419642975,0,0.0
15.0,5,7.0,0.3888888888888889,6.947109949336192,5,7.0,0.4309177194853803,5,7.0
20.0,4,24.0,1.3333333333333333,7.623242068407687,4,29.0,0.5071579614236039,4,29.0
25.0,4,44.0,1.9130434782608696,7.552226348291918,4,44.0,0.4185097374440639,4,44.0
30.0,6,74.0,3.7,7.437304986138588,6,74.0,0.44696536627751515,6,74.0
35.0,6,104.0,5.2,7.620775869176039,6,104.0,0.34808140340207966,6,104.0
40.0,8,143.0,5.5,8.769847367521166,8,143.0,0.5140501091449694,8,143.0
45.0,8,183.0,7.32,8.496935970354178,8,183.0,0.49909344067535105,8,183.0
50.0,12,229.0,9.541666666666666,5.5409336129643485,12,229.0,0.2895616346287292,12,229.0
55.0,14,297.0,11.0,5.904046437342551,14,297.0,0.25167175763919464,14,297.0
60.0,14,367.0,15.291666666666666,4.4301560940065725,14,367.0,0.1810172269371621,14,367.0
65.0,16,447.0,17.192307692307693,4.741841670415591,16,447.0,0.32807476834367827,16,447.0
70.0,16,527.0,20.26923076923077,4.402032773773845,16,527.0,0.20672080126301004,16,527.0
75.0,18,614.0,16.594594594594593,6.372462819775924,18,614.0,0.36595005194515023,18,614.0
80.0,18,704.0,20.114285714285714,6.067685638637358,18,704.0,0.35066387479778344,18,704.0
85.0,20,800.0,21.05263157894737,4.516306152437615,20,800.0,0.2373495169217979,20,800.0
90.0,26,926.0,25.72222222222222,3.8593529154223267,26,926.0,0.1732440720463949,26,926.0
95.0,28,1059.0,26.475,3.9002336465988905,28,1059.0,0.15011283188225233,28,1059.0
100.0,28,1199.0,31.55263157894737,3.339469684995323,28,1199.0,0.15497635280719996,28,1199.0
